Date,Clicks,Impressions,CTR,Position
2026-06-08,1,9,11.11%,4.1
2026-06-09,0,10,0%,6.1
2026-06-10,0,5,0%,4.8
2026-06-11,0,15,0%,17.4
2026-06-12,0,7,0%,22.3
2026-06-13,0,8,0%,35.1
2026-06-14,0,4,0%,48.5
2026-06-15,1,14,7.14%,11.1
2026-06-16,0,9,0%,15
2026-06-17,0,11,0%,28
2026-06-18,0,8,0%,23.1
2026-06-19,0,7,0%,15.1
2026-06-20,0,2,0%,8.5
2026-06-21,0,3,0%,6.7
2026-06-22,1,12,8.33%,7.2
2026-06-23,0,6,0%,8.5
2026-06-24,0,8,0%,8.2
2026-06-25,0,4,0%,11
2026-06-26,0,4,0%,5.2
2026-06-27,0,3,0%,67.3
2026-06-28,0,6,0%,35.5
